,rowkey,is_risk,is_train,buy_time,login_time,is_scan_1,log_from_1,log_type_1,log_result_1,timelong_1,buy_login_period_1,city_rate_3,city_rate_6,city_rate_10,device_rate_3,device_rate_6,device_rate_10,ip_rate_3,ip_rate_6,ip_rate_10,result_rate_3,result_rate_6,result_rate_10,device_chg_rate_3,device_chg_rate_6,device_chg_rate_10,city_chg_rate_3,city_chg_rate_6,city_chg_rate_10,ip_chg_rate_3,ip_chg_rate_6,ip_chg_rate_10,timelong_diff_avg_3,timelong_diff_avg_6,timelong_diff_avg_10,weekday,df_login_5_min,df_login_30_min,device_rate,ip_rate,city_rate,buy_time_box,login_time_box,buy_time_box_a,buy_time_box_b,buy_time_box_c,buy_time_box_d,buy_time_box_e,buy_time_box_f,buy_time_box_g,login_time_box_a,login_time_box_b,login_time_box_c,login_time_box_d,login_time_box_e,login_time_box_f,login_time_box_g,log_from_1.0,log_from_2.0,log_from_8.0,log_from_10.0,log_from_11.0,log_from_12.0,log_from_16.0,log_from_18.0,log_from_21.0,result_-4.0,result_-2.0,result_-1.0,result_1.0,result_6.0,result_22.0,result_31.0,type_1.0,type_2.0,type_3.0
11,2.0,0.0,1.0,0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,37375.0,0.0,1.0,10,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,c,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,3.0,0.0,1.0,0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,37.0,0.0,1.0,0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,63813.0,0.0,1.0,15,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,e,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,207718.0,0.0,1.0,6,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,209541.0,0.0,1.0,13,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,d,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,240783.0,0.0,1.0,22,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,g,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,240799.0,0.0,1.0,22,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,g,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,330957.0,0.0,1.0,21,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,g,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,395233.0,0.0,1.0,20,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,g,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,395263.0,0.0,1.0,20,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,g,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,395316.0,0.0,1.0,21,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,g,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,395522.0,0.0,1.0,21,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,g,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,409181.0,0.0,1.0,23,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,g,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,446904.0,0.0,1.0,13,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,d,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,564817.0,0.0,1.0,9,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,b,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,643472.0,0.0,1.0,11,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,c,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,6.0,0.0,1.0,0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,230.0,0.0,1.0,0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,234.0,0.0,1.0,0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43,320.0,0.0,1.0,0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,1412.0,0.0,1.0,10,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,c,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,2244.0,0.0,1.0,12,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,c,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,2248.0,0.0,1.0,12,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,c,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,2280.0,0.0,1.0,12,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,c,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,2873.0,0.0,1.0,14,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,d,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,2876.0,0.0,1.0,14,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,d,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,2880.0,0.0,1.0,14,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,d,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,2917.0,0.0,1.0,15,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,e,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,2923.0,0.0,1.0,15,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,e,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
